carrier_phase_1,carrier_phase_2,carrier_phase_3,carrier_phase_4,carrier_phase_5,carrier_phase_6,carrier_phase_7,carrier_phase_8
108656345.5760012,122803968.71614596,123400015.70597497,126033402.79101497,109135078.58455274,102202973.99844554,95062420.87762585,96181723.38494554
108656315.49365653,122803919.41747282,123400015.8532596,126033444.6717659,109135094.29947014,102202858.93756364,95062519.51003668,96181602.93040572
108656309.25386651,122803956.21668033,123399987.01062709,126033300.2566686,109135001.81918043,102202839.28816725,95062367.80746476,96181638.93443893
108656410.51932485,122803964.26130843,123399935.79112028,126033288.01947853,109135073.05461225,102202939.73175138,95062461.95312981,96181728.38761099
108656257.3350631,122803903.2282479,123399984.22755496,126033308.10038525,109135142.9629972,102202888.65312792,95062512.93490487,96181730.43981157
108656289.5768433,122803944.49127641,123400104.93193696,126033375.97137246,109135107.72846177,102202907.72791809,95062460.0689869,96181514.30030064
108656275.11474855,122803917.19425397,123399985.4187387,126033307.76274763,109135080.61867556,102202979.19829302,95062509.21634044,96181659.9877495
108656338.1002304,122803961.36861427,123400107.46481988,126033390.45903872,109135100.82382113,102203004.29932971,95062577.93457127,96181768.8507266
108656374.5211593,122803916.16231649,123399957.30295148,126033324.57900935,109135036.18186893,102202905.29111351,95062422.95457639,96181685.65784323
108656370.6942289,122803977.99173212,123400034.43316735,126033362.92208068,109134979.46131374,102202876.85549834,95062413.6378095,96181676.7628928
108656307.78329974,122803920.35063972,123400006.56586179,126033438.07256508,109135167.66473272,102202915.7453906,95062421.27791782,96181768.37189801
108656337.4815432,122803894.0350246,123399977.56850824,126033306.31457956,109135010.01797265,102202910.32572025,95062445.97104928,96181688.8692137
108656397.86536634,122803875.99233833,123400091.51653582,126033338.07134116,109135195.0843576,102202915.4637143,95062468.053552,96181731.49824376
108656331.11966042,122803967.42529091,123400052.9736994,126033358.28810169,109135100.57020281,102202872.54126467,95062490.00890934,96181648.54004279
108656364.42412281,122803993.24368124,123400053.05177897,126033334.11245751,109135092.30639754,102203015.89023152,95062492.43277894,96181676.24043259
108656427.67178932,122803864.82175444,123400078.38332963,126033339.18844151,109135015.38639614,102202785.38186046,95062466.77945971,96181731.62772955
108656322.4346961,122803949.19437945,123400113.560356,126033369.50833984,109135100.15239328,102202902.7871624,95062330.37520267,96181696.77136527
108656343.99554548,122803879.71720432,123400060.26311232,126033281.63814776,109135041.838905,102202849.91441777,95062474.90195292,96181591.72130816
108656276.68323897,122803799.98999895,123400113.56122005,126033325.41408059,109135065.29537453,102202797.61664765,95062459.89616257,96181681.08297311
108656373.08253804,122803964.33469309,123399962.97720784,126033421.15520878,109135220.08536144,102202854.86891626,95062487.06119545,96181653.51937442
108656424.21107599,122803950.09167667,123400036.68805577,126033339.61122426,109135131.35335004,102202887.21682133,95062518.89797477,96181669.53235377
108656372.31708165,122803882.89704885,123400040.12292197,126033387.42114797,109135092.04677534,102202853.31001204,95062550.69926816,96181678.3393321
108656325.75573371,122804006.47349139,123399964.6360522,126033348.3378398,109135114.80609152,102202826.35481706,95062475.81688134,96181621.05690046
108656271.76739037,122803991.86241807,123400018.64012052,126033471.93136549,109135017.46210213,102202871.01547477,95062482.25604098,96181584.53997035
108656367.8334915,122803907.04025501,123400094.27287468,126033486.00406012,109135129.41292407,102202907.31069317,95062456.19618534,96181731.1078295
108656324.51657507,122803907.84319286,123400002.05243798,126033340.12514882,109135119.82927357,102202781.95876814,95062468.32752834,96181692.10917059
108656447.80577582,122803952.97613499,123399996.35925442,126033276.36965741,109135055.7933282,102202854.61580501,95062332.90545698,96181642.76776858
108656285.9219881,122803870.83958073,123399847.31926298,126033363.30027126,109135119.65231295,102202940.71626048,95062430.80638677,96181609.25195678
108656320.35788919,122803909.13826044,123400077.43132134,126033360.09012404,109134999.96709369,102202797.29778631,95062524.93576533,96181773.2667478
108656386.53809848,122803939.49839655,123400088.00989722,126033323.77413149,109134988.53685753,102202967.19098167,95062498.07967274,96181752.00604485
108656276.56963922,122803851.14548628,123400019.12493093,126033352.82159214,109135139.11253117,102202977.32883047,95062464.38921322,96181670.54772088
108656303.88681807,122803865.63260867,123399983.90390427,126033355.30658583,109135189.98138085,102202921.12130159,95062383.05852264,96181709.20826578
108656302.04875779,122804038.08621961,123399952.07610945,126033258.53940308,109135160.87387642,102202862.14453195,95062471.44717644,96181684.5222948
108656349.19852762,122803958.10092528,123400016.74588999,126033306.9085186,109135097.54045574,102202862.48967662,95062478.40633284,96181584.68470113
108656275.66817059,122803928.34243853,123400085.22876702,126033256.82213232,109135152.84421727,102202890.15508255,95062480.19115914,96181640.96380405
108656261.91769761,122803971.80757391,123400020.9203434,126033300.56156914,109135113.90196086,102202880.46168955,95062430.71884452,96181705.54578735
108656393.33920848,122804002.92339334,123399949.19549893,126033470.19916025,109135030.47980084,102202887.49601616,95062545.58766736,96181723.40502302
108656360.79032074,122803978.7274378,123399984.63579375,126033337.74498646,109135145.49152415,102202908.72159177,95062423.6186085,96181658.07734285
108656339.24327232,122803917.0827384,123400019.60811546,126033391.57561442,109135100.44698255,102202827.07278742,95062524.03238583,96181654.31446552
108656370.83481753,122804025.03266063,123400073.20862086,126033435.60625796,109135101.40294339,102202920.59216778,95062424.52041093,96181705.79555008
108656393.6426456,122803915.26802188,123400004.88943233,126033363.51172173,109135162.91741936,102202861.4086235,95062428.91098182,96181711.91180204
108656345.54030514,122803906.9961235,123400109.9991717,126033307.75595862,109135078.63293287,102202852.58210832,95062400.87013154,96181746.43675637
108656381.86797866,122803957.93643832,123400064.62442487,126033275.49251385,109135114.7900133,102202912.12762687,95062520.08285296,96181790.55946231
108656279.01217584,122803968.75175118,123399932.4194104,126033262.67849424,109135015.31609054,102202866.05209567,95062432.74112052,96181686.95992114
108656241.11657256,122803953.44118428,123400013.94554025,126033363.17577694,109135086.04666975,102202977.85848646,95062571.84415685,96181631.00522214
108656303.19126639,122803901.44672248,123400158.09511162,126033234.04891191,109135129.0300309,102202878.08695498,95062558.72564568,96181522.62075527
108656268.70889175,122803935.37987854,123400039.36035697,126033354.24858077,109135166.43087341,102202842.22025752,95062352.59556897,96181754.34281687
108656354.02581465,122803916.00348672,123400019.56773631,126033418.8385938,109135116.86487134,102202965.02133822,95062457.45367756,96181608.86000775
108656339.98968679,122803818.72813027,123399977.64971994,126033317.18404534,109135140.97627948,102202956.604051,95062450.52221039,96181592.56545293
108656211.0721356,122803906.32511765,123399956.96646385,126033373.21323653,109135065.98117927,102202816.44216488,95062525.9815118,96181681.60138948
108656227.2938283,122803945.40008362,123399958.72967294,126033305.856117,109135014.37057963,102202839.48996864,95062480.37044857,96181708.29622218
108656302.15414308,122803913.44245988,123400087.5672112,126033301.72332573,109134999.63071592,102202886.092428,95062506.91904457,96181732.238214
108656313.38817562,122803949.71051078,123400053.2892331,126033444.22800457,109135125.26556286,102202856.32892579,95062475.26230629,96181638.20360848
108656249.04550102,122803918.31387883,123400130.74001393,126033275.40834928,109135171.13199213,102202888.7562602,95062435.3283831,96181660.2051805
108656406.98334362,122803936.34194311,123400059.71044113,126033371.32572877,109135036.01790607,102202905.60788949,95062472.1188984,96181579.02391179
108656355.37352677,122804005.1571782,123400092.19861583,126033405.88080712,109135086.43574117,102202782.49179,95062515.23011832,96181569.64472607
108656374.52419037,122803919.3382858,123399979.93115097,126033415.41585846,109134962.21604772,102202910.90042315,95062456.25579767,96181670.19542433
108656357.2068803,122803964.17829983,123399991.4291745,126033452.62213375,109135162.52473806,102202962.04719181,95062456.17670952,96181636.86250971
108656324.52065012,122803918.44086318,123400102.92494205,126033335.52123031,109134980.80550092,102202896.96366125,95062482.09231819,96181724.65507628
108656376.97555874,122803999.5315342,123400024.7140752,126033405.31710762,109134973.62202115,102202904.58108842,95062452.05307353,96181678.45375293
108656302.0673038,122803922.9228899,123400030.1924751,126033437.36727694,109135043.18471643,102202844.28964734,95062408.58125691,96181678.01698697
108656306.9246013,122804031.79455417,123400065.51505323,126033321.78512613,109135152.71039885,102202953.46852386,95062558.67710206,96181755.29787125
108656275.25290138,122803908.60135005,123400119.60042195,126033364.71034423,109135106.42834215,102202919.40014312,95062417.61826333,96181678.30522421
108656357.07616903,122803908.5895908,123400131.60555397,126033438.1752929,109135084.08627081,102202861.56956127,95062466.99807177,96181665.60027412
108656354.77275725,122803891.89107166,123399977.28954735,126033369.62151505,109135015.28354211,102202951.94150889,95062437.905753,96181714.0151708
108656346.70333408,122803932.45429303,123400128.78876133,126033342.95243779,109135063.2978685,102202915.26865906,95062424.74411641,96181661.81009535
108656287.06157492,122803958.92223594,123400084.04205087,126033335.52014963,109135030.47923106,102202901.59800999,95062434.83685799,96181597.4005342
108656335.88085161,122803928.92474854,123400116.17715047,126033379.03215034,109135019.84641683,102202898.11224963,95062436.43646403,96181699.55849527
108656365.52804814,122804118.96040177,123400072.39579554,126033352.91424572,109135209.76282111,102202790.3347753,95062452.15203078,96181661.21340303
108656325.43614978,122803926.47729278,123399984.61575551,126033292.21799031,109135137.6766098,102202947.53755555,95062467.56247957,96181719.30602194
108656316.15206552,122803934.22335105,123400128.53695334,126033296.43588032,109135081.23989207,102202909.47303018,95062449.3319096,96181681.17149918
108656362.17089501,122803920.92952834,123400006.69401552,126033374.23069765,109135193.0804634,102202902.4257064,95062473.31712186,96181757.59429052
108656273.89421952,122803934.21437311,123400079.52399324,126033283.42858338,109135049.0704971,102202898.60852234,95062427.40664826,96181629.96092427
108656318.33290194,122804017.99608915,123400021.4724906,126033230.47858065,109135058.7139611,102202964.12095356,95062486.55091941,96181737.44808123
108656300.26313958,122803926.3425292,123400056.44300614,126033302.56099606,109135126.54889788,102202796.34395279,95062473.11810656,96181666.03124729
108656199.27288657,122804041.93967739,123399903.87938492,126033309.32724984,109135004.86492954,102202907.2290061,95062408.88128228,96181712.04418325
108656304.87638947,122803922.17369178,123400026.91527167,126033326.40996282,109135036.49228299,102202967.05576698,95062500.69517675,96181608.37576179
108656314.13153994,122803939.08483416,123400043.37264083,126033283.44797777,109135014.70367433,102202874.75894338,95062470.42814118,96181681.72784431
108656237.76697165,122803905.38974926,123400022.35875785,126033382.9474476,109135141.92913863,102202925.76274024,95062420.9725661,96181790.06423141
108656290.64732149,122804003.79333983,123400128.98305285,126033308.03791632,109135131.13498622,102202884.16617037,95062451.04186365,96181684.53803863
108656285.68327565,122803956.11350578,123400012.51274663,126033403.69383088,109135086.24088475,102202832.51546219,95062394.69999744,96181631.058207
108656264.07246746,122803992.5448207,123400072.58004497,126033363.37274921,109135222.13199058,102202877.57598463,95062454.19046584,96181661.5782434
108656272.44411354,122803906.90067105,123400015.68422982,126033411.75542016,109135113.32440056,102202951.89334746,95062420.8640047,96181745.97683176
108656296.37574095,122803954.08115391,123400007.16896385,126033410.72718462,109135107.37704131,102202912.3098253,95062435.63963598,96181637.09571363
108656334.86931193,122803942.654978,123400047.77348095,126033377.278411,109135081.33938941,102202843.76248316,95062400.60892878,96181685.47735325
108656359.9511381,122803971.44459164,123400041.5549393,126033345.09641285,109135143.03873497,102202935.54525566,95062508.13437814,96181737.91900043
108656405.69392937,122803930.70440789,123400065.53630051,126033342.2966474,109135122.43332584,102202933.1228746,95062496.86264397,96181571.51990826
108656333.97116567,122803916.48403026,123399938.84841098,126033347.16520903,109134991.509214,102202898.40464994,95062485.33112007,96181594.25193334
108656256.16976923,122803977.22985594,123400051.35347424,126033366.73933183,109135095.93020214,102202883.56807213,95062556.08144292,96181668.09217545
108656263.52106653,122803907.95110561,123399906.04691231,126033341.60403517,109135144.81503864,102202827.23821059,95062484.04891552,96181596.89458877
108656422.67733103,122803955.1756618,123399972.70294788,126033262.2430833,109135042.81208879,102202926.56683831,95062445.84211956,96181655.00768174
108656321.63545103,122804011.3329828,123399944.26532462,126033230.35757756,109135155.21133508,102202924.86938642,95062494.3493159,96181579.70588554
108656317.01709719,122803843.16164468,123400034.10145941,126033391.17764261,109135013.96372385,102202902.41008362,95062578.27554156,96181783.86069702
108656357.84162374,122803951.32793157,123400036.29830226,126033369.89142819,109135008.08034219,102202831.51653334,95062379.09301648,96181713.94491771
108656323.3052976,122803894.38196197,123399978.79609606,126033360.56294903,109135034.05305256,102203025.08618785,95062480.09418933,96181729.36495861
108656363.76320656,122803968.82653864,123400063.52492863,126033418.80067289,109135101.15038082,102202946.59661506,95062391.24888155,96181717.21731927
108656372.12459688,122803886.03505245,123400100.68832992,126033310.51570585,109135134.56047307,102202951.11899431,95062479.63933459,96181739.64321317
108656327.80878446,122804010.2589662,123400100.63513741,126033352.65267523,109135079.24716987,102202840.70913477,95062514.84862669,96181637.89088903
108656372.76858354,122803861.6067374,123399942.73268746,126033321.91735148,109135145.5636777,102202883.75542651,95062516.84221256,96181582.81069915
108656352.79211709,122803964.76488066,123400022.23280223,126033358.65915078,109135155.50491488,102202857.23628505,95062481.26807784,96181579.8202334
108656219.98971672,122803830.33734308,123399990.55440463,126033291.5792236,109135033.93427259,102202933.562895,95062541.45225126,96181693.31797992
108656399.56690864,122803863.58427256,123399923.78554218,126033242.26942094,109135064.80750011,102202883.63191395,95062399.60720062,96181657.54436523
108656261.43737029,122804012.81042835,123399996.37496644,126033353.97508176,109135116.59385422,102202977.8761557,95062444.73201938,96181617.7165075
108656347.47247364,122803903.4463598,123400191.61965396,126033382.52073094,109135127.71078548,102202970.7099953,95062516.46373703,96181640.94751473
108656325.30933605,122803911.21285495,123400074.09804891,126033360.73112175,109135136.27119917,102202944.42320116,95062508.89331122,96181674.28704597
108656310.03404783,122803900.0928757,123399975.3472865,126033237.72199178,109135047.88102964,102202841.85392839,95062516.35696878,96181724.65594763
108656246.43245165,122803910.93951303,123399931.27735129,126033378.46854472,109134985.99517539,102202895.19343354,95062505.7530606,96181607.26618734
108656418.24579613,122803912.53357807,123399990.75087352,126033395.71201879,109135100.10890152,102202977.67380117,95062480.37932436,96181486.67061445
108656439.17562167,122803946.24749087,123399951.16442591,126033331.28849111,109135047.32728857,102202910.2252836,95062479.98039767,96181797.72097728
108656354.26346844,122803921.34646219,123399960.01498848,126033321.92269458,109135045.52741879,102202961.74039896,95062512.10550627,96181714.73516952
108656256.28441,122803996.12900291,123400009.7135768,126033381.72267102,109135035.67783585,102202797.55156843,95062414.73316446,96181638.29448833
108656323.03572267,122803834.90106852,123399997.28018622,126033256.75703448,109135016.98756243,102202917.38737997,95062471.94120711,96181612.49558295
108656374.93671389,122803942.78830035,123399955.74499822,126033383.09630176,109135130.03986736,102202987.20519124,95062421.2912093,96181679.1535571
108656200.53200646,122803894.6973354,123399973.72543913,126033302.64071083,109135115.26103964,102202869.12761633,95062408.62116566,96181743.9172729
108656375.19269441,122803910.9218572,123400096.05769251,126033329.08269632,109135020.99286753,102202898.83922678,95062456.57965775,96181618.87652299
108656303.00238003,122803892.18193015,123400092.35352837,126033434.84181152,109135043.83904724,102202876.45222744,95062540.32245167,96181617.30282414
108656360.3827083,122803916.97585095,123399977.4037109,126033417.78253426,109135146.97065124,102202974.11996093,95062414.88908854,96181728.35886191
108656309.18651587,122803876.02664058,123400009.45497607,126033385.35899083,109135045.74632426,102202835.04210319,95062404.26815201,96181716.79938047
108656267.66724037,122804008.73076174,123400011.55371526,126033177.89616665,109135106.38705915,102202982.46696073,95062457.99080805,96181652.99280478
108656322.70449719,122803942.29584672,123400074.85917416,126033355.28150313,109135084.89489716,102202865.86697504,95062576.04848139,96181718.79374087
108656428.30171488,122803969.44890277,123400001.29489248,126033352.95259887,109135086.1381659,102202802.37463246,95062530.64921628,96181753.97759873
108656366.21265396,122803915.73424122,123399966.81053972,126033320.88869826,109135122.74711092,102202879.10562778,95062397.35464479,96181751.22077398
108656257.3458944,122803895.82160375,123399963.00043581,126033258.35470232,109135055.90685724,102202891.44943899,95062495.12387784,96181690.32296574
108656373.94637479,122803888.33151637,123400077.28246345,126033311.31414583,109135104.87729439,102202772.99314381,95062424.4333254,96181611.08586818
108656370.24386394,122803994.54367778,123399974.5306663,126033360.92209,109135114.95247011,102202842.04867908,95062531.44369814,96181580.56160207
108656308.39496252,122803844.99543342,123400001.62927961,126033362.06800163,109135084.20161323,102202824.67744534,95062448.29359637,96181665.59874642
108656411.21824127,122803953.14672697,123400134.07618833,126033376.71063153,109135120.53065667,102202892.86935116,95062379.06050518,96181740.45476629
108656367.99633059,122803941.41886477,123400059.87184271,126033415.07404767,109135199.59744145,102202908.6646681,95062552.14842848,96181671.20105356
108656321.44432433,122803927.30102067,123400027.88048366,126033245.4169061,109135057.93837495,102202891.36660339,95062303.09409079,96181626.35734795
108656425.58215597,122803977.99508673,123400050.22625054,126033367.33892915,109135125.26774076,102202836.37910347,95062492.08974189,96181738.74652737
108656406.80381878,122803886.81352991,123399985.0662475,126033301.82904051,109135036.76331984,102202886.65875854,95062533.98404656,96181735.30987976
108656290.37753657,122803973.5901776,123400052.16994451,126033355.86108981,109135015.58757806,102202901.30205736,95062481.36078754,96181698.47699021
108656296.13287494,122803877.07843597,123400001.70596837,126033258.11018416,109135145.88710582,102202927.20096137,95062464.90041068,96181779.11635724
108656332.97821952,122803870.87739906,123399976.84607007,126033280.33945425,109135035.98169495,102202882.07341,95062548.09403487,96181695.46251394
108656290.98947135,122803915.5757781,123400003.61316888,126033431.52672921,109135064.0039986,102202835.46002483,95062456.4316422,96181694.6025528
108656306.66676277,122803913.02198656,123400002.11290337,126033352.81360511,109135070.48046038,102202880.55090347,95062406.46452802,96181664.24746934
108656214.92627388,122803895.42763425,123399991.00792222,126033378.80871873,109135229.3844292,102202926.88274255,95062469.73429385,96181742.35567878
108656307.78777839,122803898.44033174,123400031.60622466,126033314.77803773,109135044.9283756,102202942.41922231,95062510.62892203,96181789.06475261
108656227.55689882,122803847.72181988,123400024.07357709,126033333.42270528,109135117.36130023,102202880.47285713,95062494.01555637,96181679.4478072
108656391.90185349,122803872.44496712,123400141.87566943,126033304.7288455,109135040.672011,102202910.66668367,95062476.34558798,96181673.34124932
108656227.3360229,122803961.22039664,123399978.2748779,126033333.90333162,109135168.5621393,102202871.86639667,95062398.90871899,96181666.70873246
108656434.29023433,122803951.09185958,123400007.0816145,126033441.12064451,109135130.81258835,102202875.40101784,95062455.08040375,96181657.30427222
108656361.28885406,122803916.52304442,123400007.25095135,126033395.44802402,109135142.25935876,102202904.71094726,95062491.29215974,96181693.42386472
108656400.19415298,122803948.72385237,123399959.67884637,126033357.28022471,109135027.58361642,102202820.88861221,95062475.72248414,96181666.16179433
108656312.79911178,122803880.92438404,123400057.58613908,126033419.17878649,109135124.4492256,102202923.78523196,95062423.01665615,96181678.55942447
108656327.76685704,122803921.87023024,123399996.02124563,126033325.55211149,109135046.90849414,102202726.514279,95062446.52979782,96181676.37924926
108656266.66696107,122803900.07630548,123400033.12098715,126033354.33010888,109135065.92876585,102202891.07852575,95062487.83805683,96181745.28447857
108656331.40468179,122803937.15936908,123399951.04755162,126033269.15068959,109135202.48514138,102202809.30680248,95062501.43927914,96181659.45174117
108656308.23837481,122803927.75495249,123400027.78801283,126033302.36180437,109135058.46165116,102202852.04536448,95062484.02835074,96181559.48026988
108656342.57535508,122803954.63896164,123400001.4788992,126033364.16637076,109135066.70636944,102202971.2142687,95062560.09819764,96181610.46676214
108656282.70213096,122803943.26625714,123400079.48194152,126033258.60819012,109135133.11512072,102202909.8766005,95062410.6616245,96181724.09545703
108656358.95340921,122804033.17059667,123400062.70370033,126033411.57617906,109135036.55471763,102202856.23921522,95062518.27487268,96181739.45782445
108656295.34425652,122803920.22453094,123400054.49808769,126033303.63973507,109135035.85980263,102202873.01950808,95062423.5983398,96181702.19516067
108656416.19240774,122803993.93049683,123400117.75350003,126033382.91757792,109135141.22509588,102202790.91383742,95062558.19325502,96181704.31019612
108656375.49066299,122803928.9682472,123400043.77595943,126033437.69740914,109135144.99710268,102202862.10176949,95062611.47163242,96181725.32286327
108656398.95826466,122803912.29108824,123399990.15453076,126033224.02268724,109135075.94984214,102202827.3427723,95062528.30551548,96181615.98338713
108656376.69294736,122803822.8299726,123399972.67382365,126033323.877253,109135056.8049567,102202875.81378815,95062437.14841887,96181727.70027106
108656269.16769125,122804057.06613642,123399977.4612617,126033432.69572894,109135031.19069107,102202810.59630221,95062557.82693137,96181661.95922199
108656286.86584479,122803910.29048948,123400051.20103052,126033338.39824097,109135091.0268712,102202914.07800512,95062429.83019502,96181670.53550705
108656455.99904919,122803996.52496538,123400030.11356975,126033355.74764012,109135114.23989433,102202879.81056999,95062524.48821154,96181684.4942594
108656320.49249783,122803942.52052821,123400117.86865784,126033394.16200785,109135053.98784062,102202855.63487974,95062470.42832722,96181658.23116492
108656292.5987195,122803971.97919625,123399981.37501968,126033309.33627681,109134975.46649557,102202899.5573828,95062443.32974665,96181769.58711676
108656291.58541653,122803907.39178832,123400070.3029541,126033387.25622627,109135050.65037142,102202824.73242329,95062404.10036927,96181689.88414383
108656356.59120607,122803877.09988166,123400029.80367969,126033324.05700374,109135157.2552006,102202884.54123206,95062472.87898752,96181714.48484655
108656355.3145771,122803933.05242735,123400065.62172174,126033261.99338907,109135104.01740548,102202888.28015716,95062564.57144326,96181636.5111621
108656273.98090605,122803947.61510614,123400024.04926533,126033274.9811627,109135053.95634903,102202930.75772731,95062417.66286257,96181712.51687256
108656384.89026666,122803941.80120489,123400101.89581618,126033450.14684509,109135048.61950478,102202934.20733672,95062433.95527376,96181636.53735927
108656379.0762805,122803901.3334929,123400059.4135864,126033333.16288577,109134998.62348515,102202872.91439754,95062512.85110047,96181715.4700846
108656334.74266396,122803989.0951279,123399969.63730918,126033337.09888071,109135082.42795488,102202809.20486163,95062512.9095342,96181764.4128747
108656377.5757002,122803967.78714253,123400012.55553041,126033344.21884842,109135085.35936987,102202875.51475452,95062411.33716093,96181675.10106502
108656297.53117102,122803932.69832107,123400139.36941727,126033383.00316451,109135043.95227842,102202942.43279289,95062505.93481731,96181711.09521925
108656353.09104583,122803933.9347504,123400050.28517647,126033322.74353005,109135269.49583489,102202833.6788703,95062553.17222086,96181599.39638132
108656378.05712001,122803864.56322648,123400082.87986584,126033309.2068309,109135018.6715602,102202917.91512646,95062392.91669807,96181600.13306391
108656258.9146386,122804018.20837632,123400063.06629814,126033310.74855322,109135086.47678569,102202895.29592045,95062441.95110542,96181633.01802087
108656369.7084838,122803899.19922324,123399969.24426824,126033223.3848915,109135084.56287852,102202887.22341214,95062331.91109909,96181572.88494097
108656207.98378865,122803888.32198277,123400008.8241995,126033362.63395645,109134958.09342681,102202878.9650909,95062476.9391992,96181660.08079001
108656264.97071335,122803860.26868038,123400001.7331739,126033303.30593361,109135179.60249898,102202902.03843902,95062513.2838186,96181717.41165635
108656307.2094478,122803994.11360961,123400088.77179839,126033383.71203925,109135174.33842677,102202899.2980499,95062498.37908982,96181709.85999778
108656304.92477658,122803910.80302216,123400049.31076883,126033347.23317787,109135140.47708878,102202941.1087911,95062417.47638385,96181681.50720564
108656363.90372089,122803941.91578688,123400033.76890291,126033314.93969399,109135171.3756708,102202869.0352138,95062438.610155,96181624.58540352
108656381.30132172,122803930.22589584,123399922.5121942,126033338.51999176,109135132.4168483,102202786.06260519,95062457.96947272,96181695.07996836
108656271.8432096,122804023.84262194,123400039.3400344,126033310.07429002,109135077.50373667,102202890.82545084,95062417.87361331,96181608.7918127
108656257.73416631,122803852.856352,123400006.4988476,126033342.34727721,109135046.98112883,102202970.26244703,95062495.95373498,96181724.24032484
108656218.61075458,122803930.725641,123399966.15275884,126033349.10845675,109135100.68571323,102202896.72903797,95062516.56991714,96181710.85092805
108656240.21910301,122803973.33249804,123400090.84279156,126033338.12805982,109135109.95103288,102202946.86679766,95062580.14698352,96181673.3368176
108656335.6539497,122803833.5064663,123400151.05031261,126033328.03052709,109135073.80128069,102202877.51710247,95062508.07106316,96181785.87775837
108656439.92695165,122803909.98933436,123399995.46571343,126033298.46938163,109135042.61075862,102202928.8624917,95062384.95680232,96181702.95144686
108656314.78875908,122803944.21071841,123400015.39304578,126033442.79747999,109135174.77148853,102202822.73315856,95062521.80677637,96181743.53665216
108656283.4626776,122803907.05432121,123400019.05291747,126033384.18235902,109135083.88323312,102202868.0712643,95062399.16677064,96181643.48297894
